berth_id,terminal_id,berth_type,max_length,max_draft,capacity,available_from,available_until,status
B101,T1,CONTAINER_DEEP_WATER,420.0,16.5,1,0.0,72.0,ACTIVE
B102,T1,CONTAINER_DEEP_WATER,400.0,16.0,1,0.0,72.0,ACTIVE
B103,T1,CONTAINER_STANDARD,350.0,14.5,1,0.0,72.0,ACTIVE
B104,T1,CONTAINER_STANDARD,320.0,14.0,1,0.0,72.0,ACTIVE
B201,T2,CONTAINER_DEEP_WATER,380.0,15.5,1,0.0,72.0,ACTIVE
B202,T2,CONTAINER_STANDARD,340.0,14.2,1,0.0,72.0,ACTIVE
B203,T2,FEEDER_BERTH,250.0,12.0,1,0.0,72.0,ACTIVE
B301,T3,CONTAINER_DEEP_WATER,440.0,17.0,1,0.0,72.0,ACTIVE
B302,T3,CONTAINER_DEEP_WATER,400.0,16.5,1,0.0,72.0,ACTIVE
B303,T3,CONTAINER_STANDARD,360.0,15.0,1,0.0,72.0,ACTIVE
