crane_id,terminal_id,berth_id,capacity,availability,available_from,available_until,status
CR-101,T1,B101,30.0,1.0,0.0,72.0,OPERATIONAL
CR-102,T1,B101,30.0,1.0,0.0,72.0,OPERATIONAL
CR-103,T1,B101,30.0,1.0,0.0,72.0,OPERATIONAL
CR-104,T1,B102,30.0,1.0,0.0,72.0,OPERATIONAL
CR-105,T1,B102,30.0,1.0,0.0,72.0,OPERATIONAL
CR-106,T1,B102,30.0,1.0,0.0,72.0,OPERATIONAL
CR-107,T1,B103,30.0,1.0,0.0,72.0,OPERATIONAL
CR-108,T1,B103,30.0,1.0,0.0,72.0,OPERATIONAL
CR-109,T1,B103,30.0,1.0,0.0,72.0,OPERATIONAL
CR-110,T1,B104,30.0,1.0,0.0,72.0,OPERATIONAL
CR-111,T1,B104,30.0,1.0,0.0,72.0,OPERATIONAL
CR-112,T1,B104,30.0,1.0,0.0,72.0,OPERATIONAL
CR-201,T2,B201,27.0,1.0,0.0,72.0,OPERATIONAL
CR-202,T2,B201,27.0,1.0,0.0,72.0,OPERATIONAL
CR-203,T2,B201,27.0,1.0,0.0,72.0,OPERATIONAL
CR-204,T2,B202,27.0,0.5,0.0,72.0,MAINTENANCE
CR-205,T2,B202,27.0,1.0,0.0,72.0,OPERATIONAL
CR-206,T2,B202,27.0,1.0,0.0,72.0,OPERATIONAL
CR-207,T2,B203,27.0,1.0,0.0,72.0,OPERATIONAL
CR-208,T2,B203,27.0,1.0,0.0,72.0,OPERATIONAL
CR-301,T3,B301,35.0,1.0,0.0,72.0,OPERATIONAL
CR-302,T3,B301,35.0,1.0,0.0,72.0,OPERATIONAL
CR-303,T3,B301,35.0,1.0,0.0,72.0,OPERATIONAL
CR-304,T3,B301,35.0,1.0,0.0,72.0,OPERATIONAL
CR-305,T3,B302,35.0,1.0,0.0,72.0,OPERATIONAL
CR-306,T3,B302,35.0,1.0,0.0,72.0,OPERATIONAL
CR-307,T3,B302,35.0,1.0,0.0,72.0,OPERATIONAL
CR-308,T3,B302,35.0,1.0,0.0,72.0,OPERATIONAL
CR-309,T3,B303,35.0,1.0,0.0,72.0,OPERATIONAL
CR-310,T3,B303,35.0,1.0,0.0,72.0,OPERATIONAL
